team,current_elo,current_form_goals_for,current_form_goals_against,form_matches_used,latest_match_date
Slovakia,1575.0796390730798,1.6,2.0,5,2026-03-31
Guatemala,1574.1589214288688,1.4,2.4,5,2026-03-27
Republic of Ireland,1573.8278839697282,1.6,0.8,5,2026-03-31
Thailand,1571.2908465862697,3.0,0.8,5,2025-11-18
Cape Verde,1570.8967296522578,1.4,1.2,5,2026-03-30
Bahrain,1569.9985459707984,1.4,2.0,5,2025-12-09
Romania,1565.5113159157565,1.8,1.4,5,2026-03-31
Ynys Môn,1562.3561930313172,2.2,1.4,5,2025-07-17
Syria,1559.9848224609032,0.8,0.4,5,2025-12-11
China PR,1558.310268454142,1.0,1.0,5,2026-03-31
Réunion,1554.0659319325157,0.8,0.8,5,2023-09-02
Occitania,1548.9578589641071,1.8,0.6,5,2014-12-30
Guadeloupe,1548.567905684398,1.4,2.0,5,2025-06-24
Abkhazia,1548.2306686627755,1.2,0.6,5,2019-06-08
Vietnam,1544.0150180889857,1.8,1.0,5,2026-03-26
Kosovo,1543.4446644326888,1.6,1.0,5,2026-03-31
Basque Country,1543.025253210296,2.0,1.0,5,2020-11-16
Iraqi Kurdistan,1541.4595694411362,1.8,0.6,5,2016-06-04
New Caledonia,1541.4336019735454,1.2,1.0,5,2026-03-26
Suriname,1535.416340450971,1.6,1.4,5,2026-03-26
Gabon,1535.4064167960767,1.4,2.4,5,2026-03-30
Uganda,1534.1364762434298,1.0,2.4,5,2025-12-30
Isle of Wight,1533.0019440186395,1.6,1.2,5,2023-07-13
Palestine,1532.3507971924,0.8,0.8,5,2025-12-11
Guinea,1531.958654597375,1.4,1.2,5,2026-03-31
Zambia,1531.0515617154333,0.6,2.4,5,2026-03-31
Catalonia,1530.7549479314198,2.0,1.4,5,2019-03-25
Bosnia and Herzegovina,1530.0850867911165,2.0,1.0,5,2026-03-31
Curaçao,1529.7126692164754,1.8,1.6,5,2026-03-31
Angola,1529.2010800781516,1.0,1.4,5,2025-12-29
Malaysia,1527.4092933073216,2.4,0.4,5,2025-11-18
Andalusia,1526.4480209613955,2.2,0.6,5,2013-06-07
Kárpátalja,1526.2963665874436,2.8,0.8,5,2018-06-09
County of Nice,1526.2010679039938,2.2,1.6,5,2015-06-21
North Korea,1526.0802767481205,1.0,2.6,5,2025-06-10
Trinidad and Tobago,1525.55218865722,1.2,2.4,5,2026-03-30
Kernow,1525.1059430367973,3.0,1.0,5,2023-07-16
Ellan Vannin,1524.5773893487246,1.8,1.0,5,2018-06-03
Rhodes,1523.7525015585463,1.8,0.8,5,2011-06-27
Albania,1521.567935723661,1.2,1.4,5,2026-03-31
Georgia,1520.1361030790379,1.2,2.4,5,2026-03-29
Menorca,1517.2628593500312,1.2,1.6,5,2023-07-13
Artsakh,1517.1218195539957,1.8,1.6,5,2019-06-08
Yorkshire,1516.911415955239,4.0,2.0,5,2019-06-01
Corsica,1516.3992581465052,1.0,0.6,5,2017-05-26
Benin,1516.2574038036955,0.8,1.2,5,2026-03-31
Arameans Suryoye,1512.9583157301172,1.8,1.2,5,2014-06-08
Martinique,1512.8479697224998,0.4,1.2,5,2026-03-29
Israel,1512.706260909635,1.2,2.2,5,2026-03-26
Panjab,1512.2463016114955,3.6,2.0,5,2019-12-29
Maule Sur,1511.7910626452178,1.0,0.0,2,2022-06-19
North Macedonia,1511.688391503631,0.4,2.4,5,2026-03-31
Fiji,1510.2824799263467,0.0,4.4,5,2025-11-20
Cascadia,1509.7370271547786,4.0,1.8,5,2019-05-25
Kuwait,1508.8879256255789,1.4,1.8,5,2025-12-09
Galicia,1507.9652530703927,1.4,2.4,5,2016-05-20
Biafra,1506.2185400288997,0.6666666666666666,0.3333333333333333,3,2022-05-25
Crimea,1506.033991973762,1.4,2.2,5,2006-11-25
Chameria,1505.83949336225,1.8,0.8,5,2023-07-01
Tahiti,1505.482960541355,1.4,1.4,5,2025-03-21
Zanzibar,1505.3831197539948,1.2,0.8,5,2025-01-13
Finland,1503.9032415633385,1.4,1.2,5,2026-03-30
Brittany,1503.8965164397887,1.2,1.0,5,2013-05-28
Surrey,1503.616703465383,3.0,1.0,1,2018-05-06
Parishes of Jersey,1503.4921536078286,3.6666666666666665,1.3333333333333333,3,2019-06-02
Elba Island,1503.2966963348892,5.0,0.0,1,2022-07-16
Indonesia,1502.8747415549128,1.2,1.0,5,2026-03-30
Felvidék,1501.8026824152403,1.0,0.8,5,2017-06-09
Silesia,1500.95930519476,1.0,1.0,1,2006-12-09
Donetsk PR,1500.5628195649492,1.6,1.2,5,2017-08-31
Franconia,1500.3922249805423,2.6666666666666665,3.6666666666666665,3,2019-06-25
Matabeleland,1500.2715073901757,0.6,0.4,5,2022-05-25
Mapuche,1500.103606029853,1.5,1.0,2,2022-06-18
Canary Islands,1500.0843675167437,1.0,1.0,2,2007-12-29
Saugeais,1499.8292139460148,1.0,1.0,1,2013-06-29
West Papua,1499.5102760693187,1.0,1.0,1,2022-11-13
Dominican Republic,1499.4205940752265,1.0,0.8,5,2026-03-29
Délvidék,1499.3822279488613,2.0,1.5,2,2016-08-03
Tamil Eelam,1499.039023180273,2.6,1.2,5,2023-08-08
Bolivia,1498.716598128035,1.4,1.0,5,2026-03-31
Tajikistan,1498.3865308472036,2.8,0.6,5,2025-11-18
El Salvador,1498.1859213695382,0.6,2.0,5,2026-03-29
United Koreans in Japan,1497.9619217917163,1.4,0.8,5,2018-06-09
Sealand,1496.8482133170485,3.2,1.6,5,2014-08-10
Guyana,1496.5168634243441,2.8,0.6,5,2026-03-30
Madrid,1496.4972978325666,1.0,2.0,1,2013-06-07
Shetland,1496.3371803758678,2.6,1.4,5,2025-07-17
Cilento,1496.2811898761556,0.0,2.0,1,2011-12-29
Ryūkyū,1496.2041012868403,0.0,9.0,1,2016-11-26
Seborga,1496.1747039019617,2.0,3.0,1,2014-08-10
Somaliland,1496.1421263765617,2.4,3.6,5,2019-05-04
Luhansk PR,1496.0898052096586,1.8,2.2,5,2019-12-08
Mozambique,1494.9028871194105,1.2,2.2,5,2026-01-05
Western Sahara,1494.65526151906,2.2,3.2,5,2012-06-09
Republic of St. Pauli,1494.028346174559,2.5,1.25,4,2006-06-03
Iceland,1493.927837511501,1.0,1.8,5,2026-03-31
Yoruba Nation,1493.9031827877009,0.5,1.0,2,2022-05-23
Libya,1493.2876783779445,0.6,0.4,5,2026-03-31
Greenland,1493.126095114901,1.0,3.6,5,2024-06-01
Åland Islands,1492.9829290943294,0.8,1.8,5,2023-07-13
Hmong,1492.7002429759855,2.0,3.3333333333333335,3,2023-08-08
Chechnya,1492.5857809646668,1.0,9.666666666666666,3,2006-02-18
Monaco,1492.3015946213152,1.0,3.2,5,2017-04-29
Papua New Guinea,1492.0876589381592,2.0,1.0,5,2025-11-23
Western Armenia,1491.1599128155274,1.6,1.0,5,2019-06-09
French Guiana,1489.9960417248208,1.4,2.0,5,2024-11-19
South Ossetia,1489.0673941623904,1.6,1.2,5,2019-12-08
Kenya,1488.8210345870555,1.0,2.4,5,2026-03-30
Kabylia,1488.4288369562703,1.6,1.4,5,2018-06-09
Saint Barthélemy,1488.3318561791907,3.0,2.4,5,2023-03-10
Aymara,1488.1053313249292,0.5,2.0,2,2022-06-19
Găgăuzia,1486.9680197518428,0.6666666666666666,3.0,3,2006-11-21
Romani people,1486.6631952751732,1.6,2.8,5,2016-05-16
Ticino,1485.8197211018908,1.0,6.5,2,2023-08-06
Vanuatu,1485.7374688253144,1.6,1.2,5,2025-11-23
Lebanon,1485.1367310551464,2.0,0.4,5,2025-11-26
Székely Land,1484.3424221907742,3.0,1.8,5,2023-07-02
Vatican City,1483.9278420001065,0.6,3.0,5,2019-03-23
Gozo,1483.835275248656,0.8,1.2,5,2025-07-17
Kyrgyzstan,1483.3302142345512,1.6,2.0,5,2026-03-28
Equatorial Guinea,1482.3868495598274,0.8,1.4,5,2026-03-31
Northern Ireland,1482.368940246231,0.4,1.0,5,2026-03-31
Marshall Islands,1481.8673391946122,1.0,3.5,2,2025-08-16
Gambia,1481.360644802163,3.0,1.8,5,2026-03-31
Sápmi,1481.3500673101564,0.8,2.6,5,2023-07-16
Solomon Islands,1481.0709654148568,1.2,4.0,5,2026-03-30
Nicaragua,1480.8211481734104,0.8,2.4,5,2026-03-27
Western Isles,1479.3640101966937,1.4,1.2,5,2025-07-17
Provence,1476.9855257817128,5.8,2.2,5,2013-02-13
Sark,1476.6433949320426,0.0,17.5,4,2003-07-03
Micronesia,1476.326868981875,0.0,13.0,4,2003-07-07
Hitra,1476.2782865198187,2.8,2.6,5,2025-07-17
Turkmenistan,1474.1356796716877,2.0,1.0,5,2025-11-18
Ambazonia,1472.8840761825536,0.2,3.0,5,2007-06-07
Barawa,1471.7325942965851,0.4,5.0,5,2019-05-25
Mayotte,1471.6717317630248,1.2,0.6,5,2023-08-26
Two Sicilies,1470.9413691199254,0.4,2.8,5,2023-07-02
Gotland,1470.623281749136,3.8,1.6,5,2017-06-29
Raetia,1469.036721939116,3.4,2.2,5,2023-08-06
Zimbabwe,1466.2927259446699,1.8,1.4,5,2026-03-28
Orkney,1463.8684331431234,2.0,1.6,5,2025-07-17
Chagos Islands,1462.3504168061104,1.2,6.2,5,2019-12-29
Saint Pierre and Miquelon,1461.7183959012013,0.4,12.0,5,2012-09-28
Darfur,1460.7378709385418,0.2,13.2,5,2014-06-07
Madagascar,1460.3921740454962,2.2,1.6,5,2026-03-31
Togo,1459.5128357116112,0.8,0.6,5,2026-03-31
Saint Helena,1459.2378975618026,0.6,3.8,5,2023-07-13
Cuba,1459.0338522828145,1.6,1.0,5,2026-03-29
Bulgaria,1457.9182392297078,2.6,1.8,5,2026-03-30
Sierra Leone,1457.1784831992063,1.2,0.8,5,2026-03-30
Sudan,1455.3808721107916,0.6,2.2,5,2026-01-03
Puerto Rico,1454.7050874404601,1.6,1.6,5,2026-03-28
Kiribati,1454.4862590058958,0.4,12.8,5,2011-09-05
Rwanda,1454.1168788426294,1.4,0.8,5,2026-03-30
Montenegro,1453.433527153638,2.0,1.6,5,2026-03-31
Mauritania,1450.8556861874833,0.4,2.0,5,2026-03-27
Namibia,1448.7052108055486,0.0,2.0,5,2026-03-28
Comoros,1447.3169229782707,0.0,0.6,5,2026-03-31
Malawi,1444.852144128947,0.8,0.4,5,2026-03-31
Tanzania,1444.6816012397048,1.6,0.8,5,2026-03-29
Philippines,1440.0897938034975,3.0,1.0,5,2025-11-18
Hong Kong,1438.3205463455597,3.0,1.4,5,2025-11-18
Niger,1438.0032174556811,0.8,1.0,5,2026-03-31
Sint Maarten,1434.499892869472,1.4,0.8,5,2026-03-30
Guinea-Bissau,1434.4669218166773,0.6,1.6,5,2026-03-31
Samoa,1433.5200016907286,1.0,3.2,5,2024-11-18
Saint Kitts and Nevis,1433.4618824599224,1.6,2.6,5,2026-03-30
India,1433.3501546876823,0.4,1.4,5,2025-11-18
Tibet,1432.15433615568,2.0,4.0,5,2023-08-06
Botswana,1431.7371475719165,0.2,2.0,5,2026-03-31
Bermuda,1431.5275638247683,0.4,3.6,5,2026-03-25
Singapore,1431.4001870478307,1.6,1.4,5,2025-11-18
Saare County,1431.0477678421712,2.4,2.0,5,2017-06-29
Saint Vincent and the Grenadines,1425.7307645695284,1.6,1.6,5,2026-03-29
Liberia,1425.728698945587,1.2,1.4,5,2026-03-31
Belarus,1424.2352149405208,1.2,1.0,5,2026-03-29
Ethiopia,1424.148697815318,1.6,1.6,5,2025-10-12
Burundi,1418.7400868645166,0.0,1.2,5,2025-10-14
Congo,1416.690960850814,0.8,1.8,5,2025-10-14
Tuvalu,1415.3809217051519,1.6,4.2,5,2023-11-30
Frøya,1409.522429938968,1.0,4.8,5,2025-07-17
Falkland Islands,1404.140243361975,0.6,3.2,5,2023-07-13
Bonaire,1402.9299716767505,1.2,3.0,5,2026-03-29
Saint Lucia,1399.3661101566277,0.8,3.4,5,2026-03-27
Kazakhstan,1399.2287042507685,1.0,0.6,5,2026-03-31
Grenada,1398.948889220092,1.2,1.8,5,2026-03-30
Central African Republic,1396.151615021155,1.0,2.4,5,2025-10-12
Lesotho,1396.054894362857,0.4,1.4,5,2025-11-18
Belize,1394.6664705640862,2.0,2.0,5,2026-03-30
Armenia,1392.054379789621,0.4,3.0,5,2026-03-29
Saint Martin,1391.5550081849033,1.8,1.0,5,2026-03-29
Montserrat,1391.032057889014,0.4,1.4,5,2025-06-10
Yemen,1389.4073431569523,4.4,1.0,5,2025-11-26
Afghanistan,1386.2695517807142,0.4,1.2,5,2025-10-14
Cook Islands,1385.0113789755458,0.4,2.0,5,2024-09-06
Antigua and Barbuda,1369.6144410978268,0.2,1.4,5,2025-11-18
Eritrea,1367.5550650275527,0.4,2.0,5,2019-09-10
Northern Mariana Islands,1367.5442749618808,1.8,2.4,5,2024-04-07
Luxembourg,1363.6372167446123,0.0,2.0,5,2025-11-17
Azerbaijan,1359.586091907518,1.8,1.8,5,2026-03-30
Estonia,1359.06484581881,1.4,2.0,5,2026-03-30
Alderney,1358.7434471582503,1.2,3.8,5,2022-04-23
Tonga,1356.6252917497363,2.2,2.0,5,2024-09-09
Aruba,1355.0163443544686,2.2,1.4,5,2026-03-29
Eswatini,1353.244098663718,1.0,2.6,5,2025-10-13
Myanmar,1349.5487974541584,1.0,2.0,5,2025-10-14
Turks and Caicos Islands,1346.0343820795977,1.2,2.2,5,2025-08-16
Barbados,1345.0834459569896,1.4,2.6,5,2026-03-29
South Sudan,1344.3015523751956,0.2,2.2,5,2025-11-25
Dominica,1343.3295504701637,0.6,2.4,5,2026-03-30
Chad,1342.9871720335962,1.2,2.4,5,2025-11-17
Cayman Islands,1336.7715505881445,1.4,0.8,5,2026-03-29
Cyprus,1334.6405306763015,1.8,1.8,5,2026-03-30
Bangladesh,1327.4159904575376,1.4,2.0,5,2026-03-26
American Samoa,1325.3058174129135,0.8,4.6,5,2026-03-28
Latvia,1321.643142450049,0.6,2.0,5,2025-11-16
Faroe Islands,1317.9925854867704,2.0,1.0,5,2026-03-28
São Tomé and Príncipe,1314.2558436997158,0.8,2.8,5,2025-10-13
Bahamas,1312.8499531676391,0.4,4.0,5,2026-03-29
Mauritius,1312.6677301211573,0.8,2.0,5,2025-10-13
Nepal,1312.549732668792,0.6,1.4,5,2025-11-18
Maldives,1309.071776829361,0.8,1.6,5,2025-11-18
Lithuania,1303.1421787935956,0.4,1.6,5,2026-03-29
Mongolia,1302.4287950227538,1.0,2.4,5,2024-12-11
Moldova,1293.6532255300551,0.8,2.4,5,2026-03-30
Cambodia,1291.8228699177287,1.2,2.0,5,2025-11-13
Taiwan,1290.343344220864,0.6,4.0,5,2025-11-18
Guam,1287.1624568649383,1.8,2.4,5,2026-03-28
Sri Lanka,1281.4874480955082,0.6,2.0,5,2025-11-18
Malta,1278.4268897045595,1.4,2.4,5,2025-11-17
Pakistan,1276.7708923851012,0.2,1.8,5,2025-11-18
Brunei,1270.9374790220113,0.4,3.2,5,2025-11-18
United States Virgin Islands,1268.235127253312,2.2,1.6,5,2026-03-28
Laos,1266.7484906407258,0.6,3.2,5,2025-11-19
British Virgin Islands,1264.745022165334,2.8,1.2,5,2026-03-29
Somalia,1256.6836531790834,0.4,1.4,5,2025-11-26
Anguilla,1241.690333710275,1.0,2.6,5,2026-03-29
Djibouti,1241.1501115043789,0.2,2.8,5,2025-11-26
Macau,1231.767078017327,0.4,3.0,5,2026-03-29
Gibraltar,1222.7218597079204,0.2,2.8,5,2025-11-17
Bhutan,1213.6600604826224,0.4,3.4,5,2025-11-18
Seychelles,1211.7636391466706,0.0,5.6,5,2025-10-14
Timor-Leste,1208.3061349087313,0.6,2.6,5,2025-11-18
Andorra,1162.9284271373517,0.2,2.0,5,2026-03-31
Liechtenstein,1131.3407264315806,0.6,2.8,5,2026-03-29
San Marino,1062.3868298048185,0.4,2.8,5,2026-03-31
